Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
NODE_11_length_157608_cov_15.197705_72	-	GT2(5-166)	GT2(6-130)	GT2	3	GT2	-
NODE_11_length_157608_cov_15.197705_73	2.4.1.-:1	-	GT4_e510(208-342)	GT4	2	GT4_e510	-
NODE_11_length_157608_cov_15.197705_79	-	-	-	GT2	1	-	-
NODE_11_length_157608_cov_15.197705_96	3.2.1.21:1;3.2.1.38:3;3.2.1.85:3;3.2.1.86:12;3.2.1.-:1	GH1(7-475)	GH1_e115(8-475)	GH1	3	GH1_e115	beta-fucosides;beta-galactan;beta-glucan;polyphenol
NODE_11_length_157608_cov_15.197705_99	-	-	-	GH1	1	-	-
NODE_12001_length_2818_cov_2.867897_2	-	GH5_49(86-377)	GH5_e192(87-378)	GH5_49	3	GH5_49	-
NODE_120090_length_460_cov_2.103704_1	-	-	GT34_e9(1-85)	-	1	-	-
NODE_120114_length_460_cov_1.881481_1	4.2.2.n1:1	-	GH23_e225(1-93)	-	1	-	-
NODE_12012_length_2815_cov_49.482609_3	-	-	-	GT4	1	-	-
NODE_120144_length_460_cov_1.772840_1	2.4.1.-:18	GT56(1-152)	GT56_e0(1-152)	GT56	3	GT56_e0	-
NODE_120200_length_460_cov_1.432099_1	-	-	-	GH23	1	-	-
NODE_120212_length_460_cov_1.407407_1	3.2.1.3:1	GH15(9-153)	GH15_e59(1-153)	-	2	GH15_e59	alpha-glucan
NODE_12025_length_2813_cov_3.416244_1	-	-	-	GH13_22+GH13_22+GT5	1	-	-
NODE_12028_length_2812_cov_3.776931_1	-	-	-	GH85	1	-	-
NODE_12028_length_2812_cov_3.776931_2	-	-	-	GH5_18	1	-	-
NODE_12031_length_2812_cov_2.675734_2	-	GH33(38-340)	GH33_e0(40-375)	GH33	3	GH33_e0	host glycan
NODE_120357_length_459_cov_11.024752_1	2.4.99.-:1	GT112(1-152)	GT112_e1(1-152)	-	2	GT112_e1	-
NODE_1203_length_19362_cov_24.366862_18	-	-	-	GT2	1	-	-
NODE_120405_length_459_cov_2.980198_1	-	-	GH23_e121(1-81)	-	1	-	-
NODE_120418_length_459_cov_2.777228_1	3.2.1.52:16	GH3(2-132)	GH3_e19(2-133)	-	2	GH3_e19	chitin
NODE_12044_length_2809_cov_4.042484_3	2.4.1.182:13	GT19(7-215)	GT19_e17(7-215)	GT19	3	GT19_e17	-
NODE_1204_length_19362_cov_11.535816_15	-	-	-	GH47	1	-	-
NODE_12050_length_2807_cov_4.913517_1	-	GT2(4-166)	GT2(5-166)	GT2	3	GT2	-
NODE_120511_length_459_cov_1.878713_1	-	-	GT2(6-63)	-	1	-	-
NODE_12052_length_2807_cov_3.988372_1	-	-	-	GH31_1+GH31_1	1	-	-
NODE_120541_length_459_cov_1.742574_1	-	GT2(1-142)	GT2(1-152)	-	2	GT2	-
NODE_120571_length_459_cov_1.636139_1	-	GH16_19(17-151)	GH16_e79(19-152)	-	2	GH16_19	-
NODE_12057_length_2806_cov_115.701200_1	-	-	-	GT2	1	-	-
NODE_1205_length_19336_cov_28.327836_11	-	-	-	GH27	1	-	-
NODE_1205_length_19336_cov_28.327836_4	-	-	-	GH28	1	-	-
NODE_12062_length_2806_cov_3.191567_1	-	-	-	GH36	1	-	-
NODE_1206_length_19300_cov_18.638919_15	-	-	CBM50_e126(425-465)	CBM50	2	CBM50_e126	chitin
NODE_1206_length_19300_cov_18.638919_7	-	-	-	GT47	1	-	-
NODE_120702_length_459_cov_0.873762_1	-	-	GT2(2-143)	-	1	-	-
NODE_12075_length_2803_cov_3.863901_1	-	-	-	GT22	1	-	-
NODE_120779_length_458_cov_2.818859_1	-	-	-	GH154	1	-	-
NODE_12084_length_2801_cov_8.124909_1	-	AA3(4-540)	-	-	1	-	-
NODE_1208_length_19277_cov_57.873062_14	-	-	-	GH5_12	1	-	-
NODE_120918_length_458_cov_1.833747_1	-	GH43_34(25-139)	GH43_e298(30-139)	-	2	GH43_34	-
NODE_12095_length_2800_cov_2.569035_3	-	GH76(25-179)	GH76_e0(25-179)	-	2	GH76_e0	-
NODE_120_length_68741_cov_15.888405_5	-	-	-	GH1	1	-	-
NODE_12106_length_2798_cov_3.561065_1	3.2.1.7:6;3.2.1.26:14;3.2.1.80:1;3.2.1.153:2	GH32(48-224)	GH32_e1(49-224)	GH32	3	GH32_e1	fructan
NODE_12106_length_2798_cov_3.561065_3	-	-	-	GH28	1	-	-
NODE_121122_length_457_cov_3.457711_1	-	-	CBM50_e486(66-107)	-	1	-	chitin
NODE_121138_length_457_cov_3.069652_1	-	-	GT2(2-77)	-	1	-	-
NODE_121190_length_457_cov_2.365672_1	-	-	GH1_e80(21-151)	-	1	-	-
NODE_12120_length_2796_cov_3.280555_1	2.4.1.276:2	-	GT1_e11(9-186)	-	1	-	-
NODE_121223_length_457_cov_2.164179_1	-	-	GH23_e267(1-66)	-	1	-	-
NODE_12122_length_2796_cov_3.134258_1	-	GT2(10-107)	GT92_e1(13-229)	-	2	GT92_e1	-
NODE_12122_length_2796_cov_3.134258_2	-	GT126(18-389)	-	-	1	-	-
NODE_1212_length_19249_cov_15.691987_4	3.2.1.28:18	GH37(72-549)	GH37_e6(74-549)	GH37	3	GH37_e6	trehalose
NODE_121354_length_457_cov_1.417910_1	-	PL38(1-123)	PL38_e0(1-123)	PL38	3	PL38_e0	-
NODE_121375_length_457_cov_1.388060_1	-	-	-	GH77	1	-	-
NODE_1213_length_19244_cov_4.616707_5	-	-	-	GT71	1	-	-
NODE_12144_length_2792_cov_3.015711_2	-	GH177(3-296)	-	-	1	-	-
NODE_121495_length_456_cov_5.017456_1	-	GT51(1-83)	GT51_e71(1-83)	-	2	GT51_e71	-
NODE_121534_length_456_cov_2.770574_1	-	GH132(2-151)	GH132_e0(1-152)	-	2	GH132_e0	beta-glucan
NODE_121562_length_456_cov_2.361596_1	-	-	GT2(1-152)	-	1	-	-
NODE_1215_length_19207_cov_19.265194_11	-	GT2(16-179)	GT2(17-179)	GT2	3	GT2	-
NODE_1215_length_19207_cov_19.265194_12	-	-	GT83_e87(111-295)	-	1	-	-
NODE_121601_length_456_cov_2.094763_1	-	GT8(2-125)	GT8_e176(1-151)	-	2	GT8_e176	-
NODE_12165_length_2787_cov_4.128111_1	-	-	-	GH105	1	-	-
NODE_121755_length_456_cov_1.184539_2	-	-	GT4_e774(2-78)	-	1	-	-
NODE_121771_length_456_cov_1.114713_2	-	GT2(8-89)	GT2(8-89)	-	2	GT2	-
NODE_12177_length_2786_cov_2.950568_1	-	-	-	PL38	1	-	-
NODE_121788_length_456_cov_0.947631_1	-	GH76(7-151)	GH76_e5(1-152)	-	2	GH76_e5	-
NODE_12180_length_2785_cov_4.239194_1	-	GT51(63-215)	GT51_e120(65-213)	GT51	3	GT51_e120	-
NODE_12185_length_2784_cov_3.172957_1	-	-	-	GH38	1	-	-
NODE_12190_length_2783_cov_7.192082_3	-	-	-	GH39	1	-	-
NODE_121986_length_455_cov_1.892500_1	4.2.2.n1:10	GH103(3-151)	GH103_e0(1-151)	-	2	GH103_e0	peptidoglycan
NODE_12198_length_2782_cov_3.497250_1	-	-	-	GT62	1	-	-
NODE_1219_length_19174_cov_78.980543_6	3.2.1.28:18	GH37(72-549)	GH37_e6(74-549)	GH37	3	GH37_e6	trehalose
NODE_121_length_68718_cov_43.198127_27	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	GH13_31(31-364)	GH13_e122(31-364)	GH13_31	3	GH13_31	alpha-glucan;sucrose
NODE_121_length_68718_cov_43.198127_28	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	GH13_31(28-362)	GH13_e122(28-363)	GH13_31	3	GH13_31	alpha-glucan;sucrose
NODE_121_length_68718_cov_43.198127_29	3.2.1.54:37;3.2.1.133:20;3.2.1.135:9|3.2.1.54:7;3.2.1.133:3;3.2.1.135:2	CBM34(6-133)+GH13_20(183-487)	CBM34_e0(7-134)+GH13_e225(184-488)	CBM34+GH13_20	3	CBM34_e0|GH13_20	alpha-glucan
NODE_121_length_68718_cov_43.198127_37	2.4.1.8:9	GH65(317-693)	GH65_e0(318-693)	GH65	3	GH65_e0	alpha-glucan
NODE_121_length_68718_cov_43.198127_41	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	GH13_31(29-380)	GH13_e122(29-381)	GH13_31	3	GH13_31	alpha-glucan;sucrose
NODE_121_length_68718_cov_43.198127_43	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	GH13_31(30-381)	GH13_e122(30-382)	GH13_31	3	GH13_31	alpha-glucan;sucrose
NODE_121_length_68718_cov_43.198127_9	-	-	-	GH1	1	-	-
NODE_12200_length_2781_cov_5.877476_1	-	-	-	GT51	1	-	-
NODE_122077_length_455_cov_1.425000_2	4.2.2.6:3	-	PL22_e0(31-100)	-	1	-	pectin
NODE_12208_length_2780_cov_9.097248_2	-	-	-	GH28	1	-	-
NODE_1220_length_19147_cov_41.758747_8	-	-	-	GH85	1	-	-
NODE_1220_length_19147_cov_41.758747_9	-	-	-	GH5_18	1	-	-
NODE_122109_length_455_cov_1.377500_1	-	-	GT2(54-149)	-	1	-	-
NODE_122120_length_455_cov_1.317500_1	-	-	GT4_e2913(1-55)	-	1	-	-
NODE_122142_length_455_cov_1.187500_1	3.2.1.21:5;3.2.1.38:1;3.2.1.-:1	GH3(2-133)	GH3_e94(2-151)	-	2	GH3_e94	beta-fucosides;beta-glucan;xyloglucan
NODE_12214_length_2779_cov_5.407122_2	-	GH132(75-332)	GH132_e1(74-334)	GH132	3	GH132_e1	beta-glucan
NODE_122167_length_455_cov_0.950000_1	-	GH103(2-151)	GH103_e33(1-151)	-	2	GH103_e33	peptidoglycan
NODE_12216_length_2779_cov_3.980910_2	-	-	CBM50_e126(424-466)	CBM50	2	CBM50_e126	chitin
NODE_122172_length_455_cov_0.950000_1	-	-	GT4_e91(1-58)	-	1	-	-
NODE_122221_length_454_cov_6.997494_1	3.5.1.25:23	CE9(5-141)	CE9_e0(6-141)	-	2	CE9_e0	host glycan
NODE_12224_length_2778_cov_2.753213_2	-	-	-	GT47+GT64	1	-	-
NODE_122282_length_454_cov_2.619048_1	2.4.1.-:12	GT26(1-105)	GT26_e141(1-106)	-	2	GT26_e141	-
NODE_122283_length_454_cov_2.619048_1	-	-	GT9_e273(1-150)	-	1	-	-
NODE_1222_length_19113_cov_19.547697_13	-	-	-	CBM50+GH25	1	-	-
NODE_1222_length_19113_cov_19.547697_4	2.4.1.182:13	GT19(9-365)	GT19_e17(9-365)	GT19	3	GT19_e17	-
NODE_1222_length_19113_cov_19.547697_6	-	-	-	GH13_30	1	-	-
NODE_122318_length_454_cov_2.245614_2	-	-	CBM50_e126(67-108)	-	1	-	chitin
NODE_12237_length_2775_cov_4.069853_1	-	-	-	GH75	1	-	-
NODE_1223_length_19109_cov_25.096148_13	-	-	-	GT4	1	-	-
NODE_1223_length_19109_cov_25.096148_6	-	-	-	GT2	1	-	-
NODE_12241_length_2775_cov_2.558824_3	-	-	-	GH1	1	-	-
NODE_12248_length_2773_cov_6.269684_2	-	-	-	GT2	1	-	-
NODE_12249_length_2773_cov_3.893304_1	-	-	-	GH3	1	-	-
NODE_1224_length_19100_cov_5.231977_11	-	-	-	GT49	1	-	-
NODE_12251_length_2773_cov_3.416483_3	-	-	-	GH0	1	-	-
NODE_122522_length_454_cov_1.162907_1	-	GH105(2-150)	GH105_e57(1-150)	-	2	GH105_e57	-
NODE_122545_length_454_cov_0.952381_1	-	-	GT2(12-139)	-	1	-	-
NODE_12269_length_2770_cov_5.885820_3	-	-	-	CBM48+GH13	1	-	-
NODE_1226_length_19062_cov_23.000526_6	-	-	-	GT1	1	-	-
NODE_1226_length_19062_cov_23.000526_7	2.4.1.276:2	GT1(9-407)	GT1_e11(9-409)	GT1	3	GT1_e11	-
NODE_122795_length_453_cov_1.670854_1	-	GH15(16-149)	GH15_e9(1-149)	-	2	GH15_e9	-
NODE_12282_length_2768_cov_2.868411_2	-	-	-	GT121	1	-	-
NODE_12282_length_2768_cov_2.868411_3	-	-	-	GT121	1	-	-
NODE_122830_length_453_cov_1.540201_1	-	-	-	GT2	1	-	-
NODE_122857_length_453_cov_1.427136_1	3.2.1.21:3	GH3(34-150)	GH3_e51(34-150)	-	2	GH3_e51	beta-glucan
NODE_122883_length_453_cov_1.314070_1	3.2.1.-:5	GH43_26(1-150)	GH43_e105(1-150)	GH43_26	3	GH43_26	arabinan
NODE_1228_length_19038_cov_20.396302_16	-	-	-	GT2	1	-	-
NODE_122904_length_453_cov_1.193467_1	-	GH13_10(1-149)	GH13_e120(1-150)	-	2	GH13_10	-
NODE_122944_length_453_cov_0.954774_1	-	-	GH1_e73(1-149)	-	1	-	-
NODE_12294_length_2765_cov_3.374908_1	-	-	-	GH28	1	-	-
NODE_122997_length_452_cov_4.634761_1	3.2.1.23:22	GH42(2-150)	GH42_e20(2-150)	GH42	3	GH42_e20	arabinogalactan
NODE_1229_length_19031_cov_5.028984_2	-	-	-	GH27+CBM35	1	-	-
NODE_122_length_68681_cov_16.379463_10	-	-	GT32_e18(75-153)	-	1	-	-
NODE_122_length_68681_cov_16.379463_12	-	GT2(4-133)	GT2(5-137)	-	2	GT2	-
NODE_122_length_68681_cov_16.379463_13	-	GT4(199-338)	GT4_e774(201-338)	GT4	3	GT4_e774	-
NODE_122_length_68681_cov_16.379463_15	-	-	-	GT4	1	-	-
NODE_122_length_68681_cov_16.379463_16	-	-	GT4_e3110(213-305)	GT0	2	GT4_e3110	-
NODE_122_length_68681_cov_16.379463_22	-	-	-	GT119	1	-	-
NODE_122_length_68681_cov_16.379463_24	-	GT4(158-299)	GT4_e3980(159-298)	GT4	3	GT4_e3980	-
NODE_122_length_68681_cov_16.379463_8	-	GH39(59-323)	GH39_e40(73-314)	-	2	GH39_e40	-
NODE_122_length_68681_cov_16.379463_9	-	GT123(63-367)	-	-	1	-	-
NODE_123037_length_452_cov_2.833753_1	-	GH31_20(4-150)	GH31_e52(1-150)	-	2	GH31_20	-
NODE_12304_length_2764_cov_3.873016_1	3.2.1.39:6;3.2.1.-:3	GH17(38-317)	GH17_e35(34-318)	-	2	GH17_e35	-;beta-glucan
NODE_12310_length_2764_cov_2.751569_3	-	-	-	GH0	1	-	-
NODE_12312_length_2763_cov_3.849335_1	3.2.1.28:18	GH37(62-316)	GH37_e6(63-316)	GH37	3	GH37_e6	trehalose
NODE_123183_length_452_cov_1.672544_1	-	-	GT2(1-120)	GT2	2	GT2	-
NODE_123213_length_452_cov_1.602015_1	-	-	GH76_e43(31-150)	-	1	-	-
NODE_123284_length_452_cov_1.231738_1	-	GT2(1-126)	GT2(1-146)	-	2	GT2	-
NODE_12328_length_2761_cov_4.345528_1	2.4.1.-:26	GH72(22-322)	GH72_e0(23-324)	GH72	3	GH72_e0	beta-glucan
NODE_1232_length_19009_cov_53.088530_2	-	-	-	GH0	1	-	-
NODE_123309_length_452_cov_1.181360_1	-	-	GT2(1-150)	-	1	-	-
NODE_12331_length_2761_cov_3.162602_2	-	-	-	GT28	1	-	-
NODE_123345_length_452_cov_0.957179_1	3.2.1.1:2	GH13_5(3-150)	GH13_e245(1-150)	-	2	GH13_5	alpha-glucan
NODE_123401_length_451_cov_4.136364_1	-	GH24(2-123)	GH24_e190(2-123)	-	2	GH24_e190	peptidoglycan
NODE_123454_length_451_cov_2.550505_1	-	GT2(36-148)	GT2(37-150)	-	2	GT2	-
NODE_12345_length_2758_cov_8.170551_2	-	AA1(67-434)	-	-	1	-	-
NODE_123517_length_451_cov_1.954545_1	-	GH73(1-112)	GH73_e163(1-112)	-	2	GH73_e163	-
NODE_12352_length_2757_cov_12.133975_2	-	-	-	GH171	1	-	-
NODE_123584_length_451_cov_1.654040_1	-	-	GH17_e12(1-87)	-	1	-	-
NODE_12361_length_2756_cov_2.900037_1	-	-	-	GT4	1	-	-
NODE_12365_length_2755_cov_3.618148_2	-	-	-	GT24	1	-	-
NODE_12366_length_2755_cov_3.445185_2	-	GH24(3-146)	GH24_e144(6-147)	GH24	3	GH24_e144	peptidoglycan
NODE_12373_length_2753_cov_25.198295_1	2.4.99.-:2|2.4.99.-:2	GT107(10-307)+GT107(284-666)	GT107_e0(9-313)+GT107_e0(304-669)	GT107	3	GT107_e0|GT107_e0	-
NODE_12375_length_2753_cov_14.193106_2	-	-	-	GT2	1	-	-
NODE_12379_length_2753_cov_3.733506_3	4.2.2.n1:10	GH103(62-351)	GH103_e0(63-351)	GH103	3	GH103_e0	peptidoglycan
NODE_123809_length_450_cov_2.749367_1	-	GT2(1-149)	GT2(1-149)	-	2	GT2	-
NODE_123818_length_450_cov_2.597468_1	3.2.1.37:1;3.2.1.55:2	GH43_10(1-147)	GH43_e0(1-148)	CBM91+GH43_10	3	GH43_10	xylan
NODE_12383_length_2752_cov_15.668150_2	-	-	GT92_e3(11-225)	GT0	2	GT92_e3	-
NODE_12389_length_2751_cov_2.952522_1	-	-	-	GH5_30+GH5_30	1	-	-
NODE_123972_length_450_cov_1.526582_2	-	-	GT4_e3913(12-90)	-	1	-	-
NODE_123988_length_450_cov_1.440506_1	-	-	GT2(1-135)	-	1	-	-
NODE_12398_length_2750_cov_2.986271_2	2.4.1.131:20;2.4.1.-:1	GT15(80-365)	GT15_e0(80-365)	GT15	3	GT15_e0	-
NODE_123998_length_450_cov_1.437975_1	-	GT113(8-150)	GT113_e21(9-150)	-	2	GT113_e21	-
NODE_123_length_68436_cov_16.877334_76	-	-	GH23_e0(30-129)	-	1	-	-
NODE_124027_length_450_cov_1.225316_2	2.4.1.129:10	-	GT51_e0(1-73)	-	1	-	-
NODE_1240_length_18887_cov_8.147833_10	-	-	-	GH6	1	-	-
NODE_124104_length_449_cov_11.147208_1	-	-	GT4_e3707(87-149)	-	1	-	-
NODE_124122_length_449_cov_3.875635_1	-	GT119(9-146)	-	-	1	-	-
NODE_124126_length_449_cov_3.639594_1	-	-	GH1_e19(1-140)	GH1	2	GH1_e19	-
NODE_124137_length_449_cov_3.101523_1	-	-	GT83_e42(2-149)	-	1	-	-
NODE_124167_length_449_cov_2.626904_1	-	-	GH63_e11(1-149)	-	1	-	-
NODE_124174_length_449_cov_2.550761_1	-	GT121(16-145)	-	-	1	-	-
NODE_124256_length_449_cov_1.926396_1	3.2.1.89:17	GH53(2-140)	GH53_e14(2-141)	-	2	GH53_e14	arabinogalactan
NODE_12429_length_2742_cov_3.454782_2	-	-	-	GH0	1	-	-
NODE_124330_length_449_cov_1.540609_2	3.2.1.55:1	GH43_12(5-122)	GH43_e73(7-121)	-	2	GH43_12	xylan
NODE_124349_length_449_cov_1.446701_1	-	-	GT4_e3342(1-53)	-	1	-	-
NODE_124355_length_449_cov_1.446701_1	-	-	GT4_e1453(54-149)	-	1	-	-
NODE_12439_length_2739_cov_3.495156_1	2.4.1.11:48	GT3(12-538)	GT3_e0(13-538)	GT3	3	GT3_e0	-
NODE_124433_length_449_cov_1.185279_1	-	-	GH1_e60(2-146)	-	1	-	-
NODE_12443_length_2738_cov_2.820350_1	-	AA1(2-455)	AA1_e37(1-456)	AA1	3	AA1_e37	lignin
NODE_1244_length_18837_cov_191.817165_11	3.5.1.25:23	CE9(5-376)	CE9_e0(6-377)	CE9	3	CE9_e0	host glycan
NODE_1244_length_18837_cov_191.817165_5	3.2.1.52:12	GH20(327-762)	GH20_e0(328-763)	GH20	3	GH20_e0	host glycan
NODE_1244_length_18837_cov_191.817165_7	-	-	-	CE8	1	-	-
NODE_12460_length_2735_cov_57.272015_1	-	-	-	GT57	1	-	-
NODE_12463_length_2734_cov_3.868981_2	-	-	-	GH79	1	-	-
NODE_12469_length_2733_cov_2.947349_2	2.4.1.129:11	GT51(166-333)	GT51_e28(166-335)	GT51	3	GT51_e28	-
NODE_1246_length_18812_cov_6.931759_12	3.2.1.21:1;3.2.1.74:1	GH3(81-292)	GH3_e92(81-292)	GH3	3	GH3_e92	beta-glucan
NODE_1246_length_18812_cov_6.931759_2	-	-	-	GH1	1	-	-
NODE_1246_length_18812_cov_6.931759_3	3.2.1.40:3	GH78(95-548)	GH78_e0(98-548)	GH78	3	GH78_e0	alpha-rhamnoside
NODE_124731_length_448_cov_1.651399_1	-	GH19_1(35-141)	GH19_e46(22-142)	-	2	GH19_1	-
NODE_12473_length_2732_cov_6.103100_1	-	GT2(8-120)	GT2(9-132)	GT2	3	GT2	-
NODE_1247_length_18808_cov_6.005066_6	-	-	-	GH152	1	-	-
NODE_1247_length_18808_cov_6.005066_8	-	-	-	GT0	1	-	-
NODE_124814_length_448_cov_1.246819_1	2.4.1.-:26	GH72(1-149)	GH72_e0(1-149)	-	2	GH72_e0	beta-glucan
NODE_12484_length_2730_cov_3.501308_1	-	-	-	GT4	1	-	-
NODE_124963_length_447_cov_3.038265_1	3.2.1.21:6	GH3(71-149)	GH3_e91(73-149)	-	2	GH3_e91	beta-glucan
NODE_1249_length_18784_cov_42.358481_2	3.2.1.20:27;3.2.1.84:26	GH31_1(379-836)	GH31_e39(379-836)	GH31_1	3	GH31_1	alpha-glucan
NODE_1249_length_18784_cov_42.358481_6	-	-	-	GH43_26+GH43_26	1	-	-
NODE_1249_length_18784_cov_42.358481_8	-	-	-	GT0	1	-	-
NODE_124_length_68334_cov_207.244907_13	-	-	-	GT2	1	-	-
NODE_124_length_68334_cov_207.244907_29	-	-	-	GH6	1	-	-
NODE_124_length_68334_cov_207.244907_3	-	-	GT25_e190(16-153)	-	1	-	-
NODE_124_length_68334_cov_207.244907_33	-	-	-	GH13_11	1	-	-
NODE_124_length_68334_cov_207.244907_36	-	-	-	GT1	1	-	-
NODE_124_length_68334_cov_207.244907_37	4.2.2.n1:1	GH23(299-447)	GH23_e225(297-449)	GH23	3	GH23_e225	-
NODE_124_length_68334_cov_207.244907_4	-	-	-	GH131	1	-	-
NODE_124_length_68334_cov_207.244907_54	-	-	-	GH28	1	-	-
NODE_12501_length_2726_cov_3.903033_2	2.4.1.25:22;3.2.1.33:21	GH133(378-838)	GH133_e0(380-838)	GH13_25+GH133+GH13_25	3	GH133_e0	alpha-glucan
NODE_12502_length_2726_cov_2.777237_2	-	-	-	AA14	1	-	-
NODE_12503_length_2726_cov_2.157244_1	-	-	-	CBM50	1	-	-
NODE_125093_length_447_cov_1.780612_1	3.5.1.25:23	CE9(9-146)	CE9_e0(1-148)	-	2	CE9_e0	host glycan
NODE_12512_length_2725_cov_3.770037_2	-	-	-	GT20	1	-	-
NODE_125138_length_447_cov_1.571429_1	-	GT2(2-110)	GT2(1-130)	-	2	GT2	-
NODE_12514_length_2724_cov_5.922818_2	-	-	-	GH20	1	-	-
NODE_12515_length_2724_cov_5.402773_1	-	-	-	GH24	1	-	-
NODE_12530_length_2721_cov_18.690173_1	-	-	-	GT49	1	-	-
NODE_125341_length_446_cov_3.391304_1	2.4.99.-:11	GT9(18-147)	GT9_e71(19-146)	-	2	GT9_e71	-
NODE_12534_length_2721_cov_3.542386_1	-	-	-	GH32	1	-	-
NODE_125419_length_446_cov_2.335038_1	-	-	GT2(1-148)	-	1	-	-
NODE_125537_length_446_cov_1.695652_1	-	GH154(2-139)	GH154_e0(1-140)	-	2	GH154_e0	arabinogalactan
NODE_125584_length_446_cov_1.457801_1	-	-	GT8_e229(1-140)	-	1	-	-
NODE_12559_length_2717_cov_2.844478_3	-	-	-	CE12	1	-	-
NODE_12561_length_2716_cov_33.809846_2	-	-	-	GH0	1	-	-
NODE_12563_length_2716_cov_9.845547_1	-	GT2(7-141)	GT2(8-140)	-	2	GT2	-
NODE_125671_length_446_cov_1.143223_1	3.2.1.21:4	GH3(5-88)	GH3_e59(2-90)	-	2	GH3_e59	beta-glucan
NODE_12573_length_2715_cov_3.606391_1	-	GT62(60-323)	GT62_e5(62-324)	GT62	3	GT62_e5	-
NODE_125778_length_445_cov_2.989744_1	-	-	GT4_e3218(69-147)	-	1	-	-
NODE_12578_length_2715_cov_2.025564_3	-	GH1(8-464)	GH1_e42(8-464)	GH1	3	GH1_e42	-
NODE_1257_length_18670_cov_10.852001_2	-	GH24(28-168)	GH24_e98(29-169)	GH24	3	GH24_e98	peptidoglycan
NODE_125816_length_445_cov_2.430769_1	-	GT4(3-133)	GT4_e2549(2-132)	-	2	GT4_e2549	-
NODE_12589_length_2712_cov_5.096349_1	-	-	-	GH13_22+GH13_22+GT5	1	-	-
NODE_125916_length_445_cov_1.705128_1	-	-	-	GH31_2	1	-	-
NODE_12597_length_2711_cov_3.648720_1	3.2.1.23:41	GH2_10(1-506)	GH2_e92(1-509)	GH2_10	3	GH2_10	beta-galactan
NODE_125995_length_445_cov_1.274359_1	-	GT119(4-147)	-	-	1	-	-
NODE_1259_length_18623_cov_247.924925_11	-	-	-	GH13	1	-	-
NODE_125_length_68193_cov_6.086604_18	-	-	-	GT76	1	-	-
NODE_125_length_68193_cov_6.086604_19	-	GT76(21-445)	GT76_e5(24-445)	GT76	3	GT76_e5	-
NODE_125_length_68193_cov_6.086604_20	-	-	-	GT34	1	-	-
NODE_125_length_68193_cov_6.086604_21	-	-	-	GT1	1	-	-
NODE_125_length_68193_cov_6.086604_25	-	-	-	GH131	1	-	-
NODE_125_length_68193_cov_6.086604_29	-	-	-	GH13_5+GH13_5	1	-	-
NODE_125_length_68193_cov_6.086604_3	2.4.1.142:4	GT33(51-454)	GT33_e0(54-454)	GT33	3	GT33_e0	-
NODE_125_length_68193_cov_6.086604_36	-	-	-	CE4	1	-	-
NODE_12606_length_2709_cov_10.245290_1	-	-	-	GH85	1	-	-
NODE_1260_length_18608_cov_5.514634_1	-	-	-	GH24	1	-	-
NODE_1260_length_18608_cov_5.514634_13	-	-	-	GH24	1	-	-
NODE_126186_length_444_cov_2.434447_1	2.4.1.18:50	GH13_8(1-147)	GH13_e20(19-146)	-	2	GH13_8	alpha-glucan
NODE_126219_length_444_cov_2.190231_1	2.4.99.-:11	GT9(22-141)	GT9_e71(2-145)	-	2	GT9_e71	-
NODE_126230_length_444_cov_2.087404_1	2.4.99.-:25	-	GT30_e0(3-70)	-	1	-	-
NODE_126361_length_444_cov_1.457584_1	-	GH24(4-92)	GH24_e282(6-93)	-	2	GH24_e282	peptidoglycan
NODE_12636_length_2703_cov_3.232628_1	-	-	-	GH5_12	1	-	-
NODE_1263_length_18598_cov_8.127541_17	-	AA6(3-195)	AA6_e2(5-191)	-	2	AA6_e2	lignin
NODE_1263_length_18598_cov_8.127541_7	-	-	-	GH13_3	1	-	-
NODE_126424_length_444_cov_1.182519_1	-	-	GT107_e7(9-147)	-	1	-	-
NODE_12643_length_2702_cov_4.484322_1	2.4.1.34:56	GT48(8-686)	GT48_e0(7-685)	GT48	3	GT48_e0	-
NODE_12649_length_2701_cov_3.049887_2	-	CE9(15-364)	CE9_e75(20-364)	CE9	3	CE9_e75	host glycan
NODE_1264_length_18589_cov_9.543110_1	1.14.99.53:2|-	AA10(23-193)	AA10_e66(24-194)+CBM73_e4(420-470)	AA10+CBM73	3	AA10_e66|CBM73_e4	chitin
NODE_1264_length_18589_cov_9.543110_16	4.2.2.n1:10	GH103(63-352)	GH103_e0(64-352)	GH103	3	GH103_e0	peptidoglycan
NODE_12655_length_2699_cov_4.366868_1	2.4.1.131:20;2.4.1.-:1	GT15(1-256)	GT15_e0(1-256)	GT15	3	GT15_e0	-
NODE_12655_length_2699_cov_4.366868_2	2.4.1.131:20;2.4.1.-:1	GT15(204-477)	GT15_e0(206-477)	GT15	3	GT15_e0	-
NODE_126563_length_443_cov_2.850515_1	-	-	-	GH186	1	-	-
